Name and Address of Seller,Title of Securities Sold,Date of Sale,Amount of Securities Sold,Gross Proceeds,cost
"BBAI ULTIMATE HOLDINGS, LLC",Common,10/15/2024,572817,1018916.57,1.778782002
"BBAI ULTIMATE HOLDINGS, LLC",Common,10/16/2024,439040,773444.04,1.761671009
"BBAI ULTIMATE HOLDINGS, LLC",Common,10/17/2024,10075,17632.75,1.750148883
"BBAI ULTIMATE HOLDINGS, LLC",Common,10/18/2024,389534,688749.87,1.768138006
"BBAI ULTIMATE HOLDINGS, LLC",Common,10/21/2024,5500,9642,1.753090909
"BBAI ULTIMATE HOLDINGS, LLC",Common,10/29/2024,562400,996717.34,1.772257006
"BBAI ULTIMATE HOLDINGS, LLC",Common,10/30/2024,16523,28945.12,1.751807783
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/5/2024,859317,1517614.83,1.766070996
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/7/2024,65047,114359.26,1.758101988
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/8/2024,1175196,2072456.97,1.763498999
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/11/2024,3201746,6114403.15,1.909708999
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/12/2024,751880,1382163.71,1.838276999
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/13/2024,205817,368093.21,1.788449011
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/14/2024,251700,445146.05,1.768558006
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/15/2024,7600,13374.5,1.759802632
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/18/2024,388023,694249.59,1.789197006
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/19/2024,97785,175977.9,1.799641049
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/20/2024,795530,1625232.79,2.042956004
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/21/2024,1821619,4027750.8,2.211082998
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/22/2024,2382851,5768472.42,2.420828
"BBAI ULTIMATE HOLDINGS, LLC",Common,11/25/2024,2181844,5345517.8,2.45
